region_name,topsis_score,distance_best,distance_worst,grdp_per_capita,fdi_registered,digital_index,ai_readiness,trained_labor,rd_intensity,internet_penetration,gini,rank
Đông Nam Bộ,0.9451265836413045,0.009305716469254528,0.16027943218214752,158.9,18.5,82.0,75.0,42.5,0.78,94.0,0.385,1
Đồng bằng sông Hồng,0.9057635900057295,0.016126281184862964,0.15499952026225475,152.3,20.0,78.0,68.0,36.8,0.85,92.0,0.358,2
Bắc Trung Bộ và duyên hải miền Trung,0.3714578977597465,0.10532920576018397,0.062247803616181506,87.5,8.2,55.0,40.0,27.5,0.32,84.0,0.372,3
Đồng bằng sông Cửu Long,0.1763212949967707,0.1412803395648764,0.030243263882536783,80.5,2.1,48.0,30.0,16.8,0.22,78.0,0.392,4
Trung du miền núi phía Bắc,0.10578124580983007,0.1507355706020574,0.017831203351004705,57.0,3.5,38.0,22.0,21.5,0.18,72.0,0.405,5
Tây Nguyên,0.03984484445297345,0.16336743378303914,0.006779477202408944,68.9,0.8,32.0,18.0,18.2,0.15,68.0,0.412,6
