scenario,solution_id,gdp_gain,inequality,emission,net_cyber_risk,total_budget
Tăng trưởng cao nhất,random_4511,50398.02668461262,2445.213457464198,6836.746874012435,-258.33373170159257,49891.30558285018
Nghiệm thỏa hiệp,random_2984,48890.09100031198,1984.542293848522,4404.872940356082,-3315.8964344319884,49939.08951363954
