policy_type,mean_reward,std_reward,min_reward,max_reward
learned,8.581994165041486,0.39710820733746743,6.281459398858683,9.134826754534004
always_a1,7.193297973791942,1.672320200282158,2.310027799807798,8.805134769291373
always_a3,5.156542144755141,1.1192867222198581,1.9034205841400365,7.710263321952055
random,7.934587779666827,0.5999800822098369,3.588480703128437,8.775231081065083
