region,I,D,AI,H
NMM,0.0,8999.590000000004,0.0,3000.4099999999953
RRD,0.0,0.0,5000.0,0.0
NCC,0.0,499.59000000000486,0.0,4500.409999999995
CH,0.0,11999.590000000004,0.0,0.4099999999951365
SE,0.0,0.0,7501.639999999982,0.0
MD,0.0,3999.5900000000047,0.0,4498.770000000013
