episode,reward,smoothed_reward
1,8.332350409335415,8.332350409335415
2,8.24776757051003,8.290058989922723
3,7.632139487631605,8.070752489159018
4,8.473205446078955,8.171365728389002
5,8.459621556426114,8.229016893996425
6,8.630398261285075,8.295913788544533
7,8.5475136940135,8.331856632182957
8,8.253345080783276,8.322042688257996
9,8.245274817981944,8.313512924893992
10,8.140528185109307,8.296214450915523
11,8.419112358892377,8.307386988004327
12,7.996933801073245,8.281515889093404
13,8.59745241954638,8.305818699128249
14,8.364297983947775,8.309995790901072
15,7.523422770018516,8.2575575895089
16,8.069364816254494,8.2457955411805
17,8.450105748955767,8.257813788696692
18,7.6300571074944905,8.222938417518792
19,8.345643066181356,8.229396556922085
20,8.054076425364315,8.220630550344197
21,7.733463055249508,8.197432098196831
22,6.729358195848887,8.130701466271924
23,8.457474417718075,8.144908985900017
24,8.528540279362174,8.160893623127608
25,8.572020479825435,8.177338697395522
26,8.362692206588916,8.184467678518343
27,7.799546672651328,8.170211344967713
28,8.468396341179336,8.180860809118128
29,8.301836776933008,8.185032394215193
30,8.54128534402743,8.196907492542268
31,7.692442641108625,8.180634432818602
32,7.700827785833885,8.165640475100329
33,6.514380440735182,8.115602292240778
34,8.288032271773828,8.120673762227044
35,8.130197455042323,8.120945867736054
36,7.948552209702765,8.116157155012907
37,8.255902949259262,8.119934068370917
38,8.517096700314669,8.130385716579962
39,8.514596347853375,8.140237271228
40,8.408543883722585,8.146944936540363
41,8.31176433144553,8.150964921781954
42,8.76847319816086,8.165667499790974
43,8.158199007724395,8.16549381392896
44,8.347617453144151,8.169632987547487
45,8.271922019522057,8.171906077146923
46,8.234930027917912,8.173276163033249
47,8.346785925314908,8.17696786010307
48,7.917199333982337,8.17155601580889
49,8.502140787991733,8.17830264381262
50,7.995390647022092,8.17464440387681
51,8.512427725965203,8.1812676062707
52,7.900234806318874,8.17586312934855
53,8.36527410958516,8.179436921428485
54,8.318356824165445,8.18200951221991
55,7.4540389101865605,8.16877368309203
56,7.766775806414721,8.161595149579936
57,8.608038028004461,8.169427480780367
58,8.351061277600367,8.172559097966918
59,7.234048597746854,8.156652140336071
60,8.481479256872781,8.162065925611682
61,8.302991372062184,8.164376178832182
62,8.01279346688472,8.161931296381416
63,8.5382254196362,8.167904218972764
64,8.440485185928054,8.17216329658144
65,8.545946693284886,8.177913810376877
66,8.189095413426294,8.178083228604898
67,7.846390336357934,8.173132588422106
68,8.639978847385594,8.179997974583335
69,8.3965567637376,8.183136507759484
70,8.05014797853732,8.181236671627738
71,8.429985126733552,8.184740170995426
72,8.345148991915238,8.18696807128598
73,8.185668489034562,8.186950268789385
74,8.538289034742096,8.191698089950908
75,8.131109422963378,8.19089024105774
76,7.355632656454134,8.179900009681377
77,8.527028745530336,8.184408175082014
78,8.31577671034016,8.186092387072502
79,8.34201836127394,8.188066133581382
80,8.408851869220097,8.190825955276866
81,8.43682004178946,8.193862919307886
82,8.056281920000385,8.19218510224316
83,7.94338198277117,8.189187474297714
84,8.372850326832767,8.191373936827892
85,8.119478320738546,8.19052810605037
86,8.116346671912357,8.189665531234812
87,8.171037918213107,8.18945142074031
88,8.197399960387955,8.189541745054488
89,7.668438194214857,8.18368664897764
90,8.4557506244874,8.186709582038857
91,8.074111698966968,8.185472242664442
92,8.015475114423648,8.183624447792258
93,8.516777008447226,8.1872067333907
94,8.208774478215732,8.187436177484583
95,7.591882826873469,8.181167194846571
96,7.733978398247573,8.176508978215331
97,8.119266691626441,8.175918851549467
98,8.076889032824129,8.174908343195126
99,8.289971163326099,8.17607059390352
100,7.90639804565665,8.173373868421052
101,7.344876141427056,8.163499125741968
102,8.38598793441819,8.16488132938105
103,8.317934886410235,8.171739283368836
104,8.66719026245069,8.173679131532554
105,8.383011657652686,8.17291303254482
106,8.500611068358118,8.17161516061555
107,5.045542994048558,8.1365954536159
108,8.259787955794128,8.136659882366008
109,8.330785270746496,8.137514986893654
110,8.656303519870484,8.142672740241265
111,8.3528181792143,8.142009798444485
112,8.137212723243332,8.143412587666186
113,8.005974610536253,8.137497809576084
114,8.376195836610313,8.13761678810271
115,7.940760527719233,8.141790165679717
