strategy,status,welfare,Y_2035,C_2035,K_2035,D_2035,AI_2035,H_2035,note
optimized,optimal,48.42165520074131,321.6651467145486,231.598905634475,17375.429744340978,7.920588867470929,19.9389093026715,31.714970702040024,SLSQP solved successfully.
equal investment,simulated,48.386152974757636,318.4653918170777,229.29508210829596,17512.693074644136,6.838238573778379,20.16604369551013,32.315699961803716,"Equal shares across K,D,AI,H."
front-load,simulated,48.38479299656367,318.29839187215174,229.17484214794925,17530.306116528474,6.787696016221221,20.129540586491665,32.33594904615549,"Front-load D/AI, then rebalance toward K/H."
