scenario,scenario_name,description,budget,K_share,D_share,AI_share,H_share,K_allocation,D_allocation,AI_allocation,H_allocation,GDP_gain,Digital_score,AI_score,Human_capital_score,NetJob,Inequality_risk,Cyber_risk,Emission_risk,GDP_gain_norm,Digital_score_norm,AI_score_norm,Human_capital_score_norm,NetJob_norm,Inequality_risk_norm,Cyber_risk_norm,Emission_risk_norm,Overall_score
S1,Truyền thống,Duy trì ưu tiên vốn vật chất và hạ tầng truyền thống.,50000.0,0.7,0.1,0.1,0.1,35000.0,5000.0,5000.0,5000.0,50630.49565677849,43.5,36.5,34.300000000000004,7193.892807328686,46.400000000000006,20.0,53.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7102137767220903,0.0,4.261282660332542
S2,Số hóa nhanh,"Tăng tốc hạ tầng số, dịch vụ số và nền tảng dữ liệu.",50000.0,0.25,0.45,0.15,0.15,12500.0,22500.0,7500.0,7500.0,56720.708174529966,93.25,53.25,46.85,11409.850480660552,37.300000000000004,29.599999999999998,19.2,0.5769765608401185,1.0,0.3101851851851852,0.3193384223918575,0.7026596122219777,0.40265486725663724,0.48218527315914494,1.0,58.490798853515294
S3,AI dẫn dắt,"Dồn trọng tâm vào năng lực AI, dữ liệu và tự động hóa.",50000.0,0.2,0.2,0.45,0.15,10000.0,10000.0,22500.0,7500.0,61185.885478652184,70.0,90.5,42.35,9982.903151808483,41.300000000000004,49.900000000000006,31.299999999999994,1.0,0.5326633165829145,1.0,0.20483460559796435,0.4648350574132995,0.22566371681415942,0.0,0.6441176470588237,59.681341900045446
S4,Bao trùm số,"Ưu tiên vốn nhân lực, đào tạo lại và tiếp cận số rộng.",50000.0,0.3,0.2,0.1,0.4,15000.0,10000.0,5000.0,20000.0,53659.89197730906,61.5,43.49999999999999,73.6,13193.892807328686,23.800000000000008,7.800000000000002,21.6,0.2869999471031208,0.36180904522613067,0.1296296296296295,1.0,1.0,1.0,1.0,0.9294117647058823,62.85317209183508
S5,Tối ưu cân bằng,"Weighted compromise fallback giữa tăng trưởng, số hóa, AI, việc làm và rủi ro.",50000.0,0.3,0.28,0.22,0.2,15000.0,14000.000000000002,11000.0,10000.0,59118.17823054385,73.50000000000001,59.9,50.03999999999999,10983.965120477655,24.520000000000003,29.480000000000008,27.280000000000005,0.8041088692126296,0.6030150753768847,0.4333333333333333,0.4005089058524171,0.6316787188581614,0.9681415929203542,0.4850356294536816,0.7623529411764705,64.61868608627425
